iter	Passed	Remaining
986	123851	1631
987	123940	1505
988	124042	1379
989	124149	1254
990	124258	1128
991	124369	1002
992	124481	877
993	124651	752
994	124788	627
995	124929	501
996	125061	376
997	125164	250
998	125262	125
999	125385	0
